FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;AT;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0.4 ,0.1 ,18.7 ,11.9 ,37.7 ,167.1 ,96.5 ,103.1 ,114.7 ,81.5 ,73.1 ,31.7 ,23.4 ,25.9 
A;BE;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29 ,91.2 ,76.4 ,91.7 ,81.8 ,52.4 ,68.8 ,123.1 ,69.8 ,99.1 ,131.9 
A;BG;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.1 ,0.4 ,6 ,10.2 ,18.7 ,126.6 ,176.5 ,64.3 ,129.1 
A;CY;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.8 ,8.5 ,6.7 ,5.6 ,4.2 ,2 ,1.2 ,1.6 ,0 
A;CZ;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47.5 ,400.3 ,324.2 ,374.7 ,670.7 ,757.9 ,818.8 ,789.2 ,1053.9 ,178.5 ,254.3 
A;DE;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1059.4 ,1884.3 ,4049.7 ,3007.3 ,2757.2 ,2743.8 ,2311.5 ,2221.4 ,150.2 ,342.1 ,961.9 
A;DK;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.3 ,0.3 ,0.2 ,0 ,0.8 ,0 ,0 ,0.1 ,14.9 ,14.9 ,15 
A;EE;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.5 ,0.6 ,1.1 ,2 ,4.8 ,7.2 ,8.8 ,32.2 ,28.8 ,3.4 ,8.6 
A;EL;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64.8 ,141.8 ,136.6 ,354.2 ,210.4 ,300.1 ,275.8 ,207.1 ,151.9 ,182.5 
A;ES;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,103 ,113.2 ,416.9 ,396.5 ,550.3 ,522.6 ,446.5 ,275.1 ,231 ,268.9 ,318.7 ,219.1 ,194.1 
A;EU28;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0.4 ,103.1 ,181.1 ,2437 ,4168.1 ,7081.9 ,6466 ,6219.3 ,6017.4 ,6065.1 ,9990.5 ,7432.2 ,6934.4 ,8124.8 
A;FI;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,48.7 ,31.1 ,38 ,45.9 ,42.8 ,45.9 ,53 ,63.3 ,72.1 ,65 
A;FR;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,136.3 ,283.8 ,279.9 ,236.2 ,193.1 ,201.6 ,273.8 ,1998.1 ,2627.9 ,2593.9 ,2168.9 
A;HR;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.8 ,87.3 ,13.9 ,91.7 ,162.4 
